room_id,building,room_number,capacity,room_type,equipment
R001,Поточный корпус,100,20,ПА,Спортивное оборудование
R002,Лабораторный корпус,101,400,ЛК,Спортивное оборудование
R003,Административный корпус,102,100,ЦИТ,Интерактивная доска
R004,Административный корпус,103,50,ЦУВП,Стандартное оснащение
R005,Центр информационных технологий,104,40,ПА,Спортивное оборудование
R006,Главный корпус,105,800,ПА,Спортивное оборудование
R007,Лабораторный корпус,106,100,А,Стандартное оснащение
R008,Спортивный комплекс,107,100,ЦУВП,Стандартное оснащение
R009,Спортивный комплекс,108,100,ГУ,Лабораторное оборудование
R010,Центр информационных технологий,109,200,А,Лабораторное оборудование
R011,Центр информационных технологий,110,100,А,"Проектор, доска"
R012,Спортивный комплекс,111,80,ЛК,Интерактивная доска
R013,Спортивный комплекс,112,200,ЛК,"Проектор, доска"
R014,Учебный корпус,113,100,ГУ,Интерактивная доска
R015,Административный корпус,114,150,А,Спортивное оборудование
R016,Административный корпус,115,80,ГУ,Интерактивная доска
R017,Главный корпус,116,100,ЛК,Лабораторное оборудование
R018,Спортивный комплекс,117,20,А,"Проектор, доска"
R019,Лабораторный корпус,118,200,А,Спортивное оборудование
R020,Поточный корпус,119,80,ГУ,Стандартное оснащение
