plan_id,group_id,discipline,teacher_id,hours_per_semester,semester,lesson_type,weeks_parity
P001,G079,Философия,T015,36,Осенний-Зимний,Лабораторная,Оба
P002,G042,Экономика,T005,108,Осенний-Зимний,Лекция,Оба
P003,G066,Финансы,T013,108,Осенний-Зимний,Лабораторная,Четные
P004,G006,Компьютерные сети,T001,108,Весенний,Лабораторная,Оба
P005,G003,Программирование,T010,72,Осенний-Зимний,Лекция,Оба
P006,G010,Право,T009,72,Осенний-Зимний,Лабораторная,Оба
P007,G049,История,T013,72,Весенний,Лекция,Оба
P008,G042,Иностранный язык,T006,36,Осенний-Зимний,Семинар,Четные
P009,G072,Иностранный язык,T014,36,Весенний,Лекция,Четные
P010,G058,Статистика,T011,36,Весенний,Лекция,Нечетные
P011,G038,Программирование,T002,72,Осенний-Зимний,Семинар,Четные
P012,G010,Финансы,T015,72,Осенний-Зимний,Лекция,Нечетные
P013,G073,Иностранный язык,T005,36,Осенний-Зимний,Лабораторная,Оба
P014,G079,Иностранный язык,T001,108,Весенний,Семинар,Нечетные
P015,G037,Менеджмент,T005,108,Весенний,Семинар,Четные
P016,G057,Программирование,T015,108,Весенний,Лабораторная,Оба
P017,G039,Статистика,T014,36,Осенний-Зимний,Лабораторная,Четные
P018,G016,Операционные системы,T006,36,Осенний-Зимний,Лабораторная,Нечетные
P019,G054,Дискретная математика,T007,36,Осенний-Зимний,Лабораторная,Четные
P020,G055,Программирование,T007,36,Осенний-Зимний,Лабораторная,Четные
P021,G019,Дискретная математика,T001,108,Весенний,Лекция,Нечетные
P022,G002,Алгоритмы,T014,108,Весенний,Семинар,Нечетные
P023,G031,Иностранный язык,T007,108,Весенний,Лекция,Четные
P024,G026,Математический анализ,T009,72,Осенний-Зимний,Лабораторная,Оба
P025,G007,Менеджмент,T011,108,Весенний,Семинар,Нечетные
P026,G004,Экономика,T001,36,Весенний,Лекция,Оба
P027,G075,Алгоритмы,T001,36,Осенний-Зимний,Лекция,Нечетные
P028,G028,Алгоритмы,T014,72,Осенний-Зимний,Лекция,Оба
P029,G077,Право,T015,72,Осенний-Зимний,Семинар,Четные
P030,G012,Финансы,T007,72,Осенний-Зимний,Лекция,Оба
