group_id,group_name,institute,course,student_count,level
G001,ИИС-11,ИИС,1,31,Бакалавр
G002,ИИС-12,ИИС,1,24,Магистр
G003,ИИС-13,ИИС,1,25,Бакалавр
G004,ИИС-21,ИИС,2,26,Бакалавр
G005,ИИС-22,ИИС,2,16,Бакалавр
G006,ИИС-23,ИИС,2,33,Бакалавр
G007,ИИС-31,ИИС,3,28,Бакалавр
G008,ИИС-32,ИИС,3,19,Бакалавр
G009,ИИС-33,ИИС,3,18,Магистр
G010,ИИС-41,ИИС,4,30,Бакалавр
G011,ИИС-42,ИИС,4,33,Магистр
G012,ИИС-43,ИИС,4,23,Аспирант
G013,ИОМ-11,ИОМ,1,18,Бакалавр
G014,ИОМ-12,ИОМ,1,20,Бакалавр
G015,ИОМ-13,ИОМ,1,29,Бакалавр
G016,ИОМ-21,ИОМ,2,21,Бакалавр
G017,ИОМ-22,ИОМ,2,26,Бакалавр
G018,ИОМ-23,ИОМ,2,17,Магистр
G019,ИОМ-31,ИОМ,3,20,Бакалавр
G020,ИОМ-32,ИОМ,3,27,Магистр
G021,ИОМ-33,ИОМ,3,24,Бакалавр
G022,ИОМ-41,ИОМ,4,32,Бакалавр
G023,ИОМ-42,ИОМ,4,22,Аспирант
G024,ИОМ-43,ИОМ,4,17,Бакалавр
G025,ИЭФ-11,ИЭФ,1,17,Бакалавр
G026,ИЭФ-12,ИЭФ,1,31,Бакалавр
G027,ИЭФ-13,ИЭФ,1,33,Бакалавр
G028,ИЭФ-21,ИЭФ,2,30,Бакалавр
G029,ИЭФ-22,ИЭФ,2,31,Бакалавр
G030,ИЭФ-23,ИЭФ,2,17,Бакалавр
G031,ИЭФ-31,ИЭФ,3,19,Бакалавр
G032,ИЭФ-32,ИЭФ,3,24,Бакалавр
G033,ИЭФ-33,ИЭФ,3,34,Магистр
G034,ИЭФ-41,ИЭФ,4,25,Магистр
G035,ИЭФ-42,ИЭФ,4,31,Бакалавр
G036,ИЭФ-43,ИЭФ,4,19,Бакалавр
G037,ИУПСиБК-11,ИУПСиБК,1,18,Бакалавр
G038,ИУПСиБК-12,ИУПСиБК,1,26,Бакалавр
G039,ИУПСиБК-13,ИУПСиБК,1,24,Бакалавр
G040,ИУПСиБК-21,ИУПСиБК,2,17,Бакалавр
G041,ИУПСиБК-22,ИУПСиБК,2,27,Бакалавр
G042,ИУПСиБК-23,ИУПСиБК,2,28,Бакалавр
G043,ИУПСиБК-31,ИУПСиБК,3,15,Бакалавр
G044,ИУПСиБК-32,ИУПСиБК,3,20,Бакалавр
G045,ИУПСиБК-33,ИУПСиБК,3,19,Бакалавр
G046,ИУПСиБК-41,ИУПСиБК,4,18,Магистр
G047,ИУПСиБК-42,ИУПСиБК,4,19,Бакалавр
G048,ИУПСиБК-43,ИУПСиБК,4,16,Аспирант
G049,ИМ-11,ИМ,1,30,Магистр
G050,ИМ-12,ИМ,1,18,Бакалавр
G051,ИМ-13,ИМ,1,28,Бакалавр
G052,ИМ-21,ИМ,2,17,Бакалавр
G053,ИМ-22,ИМ,2,30,Бакалавр
G054,ИМ-23,ИМ,2,30,Бакалавр
G055,ИМ-31,ИМ,3,28,Бакалавр
G056,ИМ-32,ИМ,3,15,Бакалавр
G057,ИМ-33,ИМ,3,16,Бакалавр
G058,ИМ-41,ИМ,4,32,Бакалавр
G059,ИМ-42,ИМ,4,25,Магистр
G060,ИМ-43,ИМ,4,22,Бакалавр
G061,ИГУиП-11,ИГУиП,1,25,Бакалавр
G062,ИГУиП-12,ИГУиП,1,32,Аспирант
G063,ИГУиП-13,ИГУиП,1,23,Бакалавр
G064,ИГУиП-21,ИГУиП,2,28,Бакалавр
G065,ИГУиП-22,ИГУиП,2,17,Бакалавр
G066,ИГУиП-23,ИГУиП,2,34,Бакалавр
G067,ИГУиП-31,ИГУиП,3,29,Аспирант
G068,ИГУиП-32,ИГУиП,3,32,Аспирант
G069,ИГУиП-33,ИГУиП,3,32,Магистр
G070,ИГУиП-41,ИГУиП,4,24,Аспирант
G071,ИГУиП-42,ИГУиП,4,17,Магистр
G072,ИГУиП-43,ИГУиП,4,21,Аспирант
G073,ИЗО-11,ИЗО,1,30,Бакалавр
G074,ИЗО-12,ИЗО,1,34,Бакалавр
G075,ИЗО-13,ИЗО,1,33,Магистр
G076,ИЗО-21,ИЗО,2,33,Бакалавр
G077,ИЗО-22,ИЗО,2,17,Бакалавр
G078,ИЗО-23,ИЗО,2,17,Бакалавр
G079,ИЗО-31,ИЗО,3,22,Бакалавр
G080,ИЗО-32,ИЗО,3,21,Бакалавр
G081,ИЗО-33,ИЗО,3,30,Бакалавр
G082,ИЗО-41,ИЗО,4,33,Магистр
G083,ИЗО-42,ИЗО,4,22,Бакалавр
G084,ИЗО-43,ИЗО,4,27,Аспирант
